size,operation,time
1900000,dot product,0.000791112
1900000,dot product,0.000670147
1900000,dot product,0.000693808
1900000,dot product,0.000688285
1900000,dot product,0.000653628
1900000,dot product,0.000650361
1900000,dot product,0.000675716
1900000,dot product,0.000656149
1900000,dot product,0.000648159
1900000,dot product,0.000649585
19000,matrix multiplication,0.155337299
19000,matrix multiplication,0.160540797
19000,matrix multiplication,0.159779126
19000,matrix multiplication,0.156818893
19000,matrix multiplication,0.162895986
19000,matrix multiplication,0.172006395
19000,matrix multiplication,0.163093272
19000,matrix multiplication,0.162926725
19000,matrix multiplication,0.161737512
19000,matrix multiplication,0.16239396
2000000,dot product,0.000881848
2000000,dot product,0.000924756
2000000,dot product,0.000905956
2000000,dot product,0.000887076
2000000,dot product,0.000897898
2000000,dot product,0.00090677
2000000,dot product,0.000980793
2000000,dot product,0.000913868
2000000,dot product,0.000776738
2000000,dot product,0.000854851
20000,matrix multiplication,0.168551482
20000,matrix multiplication,0.168461806
20000,matrix multiplication,0.147884022
20000,matrix multiplication,0.150669514
20000,matrix multiplication,0.153820921
20000,matrix multiplication,0.150458256
20000,matrix multiplication,0.151433431
20000,matrix multiplication,0.148178005
20000,matrix multiplication,0.155428516
20000,matrix multiplication,0.152536017
